Game,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
Grand Theft Auto V,Action,Rockstar Games,4.7,3.25,0.01,0.76,8.72
Call of Duty: Black Ops 3,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
Call of Duty: WWII,Shooter,Activision,3.75,1.91,0.0,0.57,6.23
Red Dead Redemption 2,Action-Adventure,Rockstar Games,3.76,1.47,0.0,0.54,5.77
MineCraft,Misc,Microsoft Studios,3.23,1.71,0.0,0.49,5.43
Call of Duty: Advanced Warfare,Shooter,Activision,3.25,1.49,0.01,0.48,5.22
Battlefield 1,Shooter,Electronic Arts,3.37,1.26,0.02,0.48,5.13
Fallout 4,Role-Playing,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03
Halo 5: Guardians,Shooter,Microsoft Studios,2.94,1.49,0.03,0.45,4.92
Call of Duty: Infinite Warfare,Shooter,Activision,2.91,1.44,0.0,0.44,4.79
Star Wars Battlefront (2015),Shooter,Electronic Arts,2.49,1.26,0.02,0.38,4.15
Forza Horizon 3,Racing,Microsoft Studios,1.64,1.96,0.02,0.32,3.93
FIFA 17,Sports,Electronic Arts,1.04,2.4,0.0,0.27,3.71
Gears of War: Ultimate Edition,Shooter,Microsoft Studios,2.88,0.37,0.0,0.37,3.62
Assassin's Creed: Unity,Action,Ubisoft,2.34,0.9,0.0,0.34,3.58
Halo: The Master Chief Collection,Shooter,Microsoft Studios,2.06,1.04,0.03,0.31,3.44
Destiny,Shooter,Activision,2.17,0.92,0.0,0.32,3.41
Gears of War 4,Shooter,Microsoft Studios,2.17,0.9,0.0,0.32,3.38
FIFA 16,Sports,EA Sports,0.92,2.1,0.0,0.24,3.25
FIFA 18,Sports,EA Sports,0.98,1.92,0.0,0.23,3.14
Titanfall,Shooter,Electronic Arts,1.88,0.91,0.04,0.28,3.11
Call of Duty: Ghosts,Shooter,Activision,1.92,0.86,0.0,0.28,3.07
Overwatch,Shooter,Blizzard Entertainment,1.63,0.84,0.0,0.25,2.72
Tom Clancy's Rainbow Six: Siege,Shooter,Ubisoft,1.62,0.84,0.0,0.25,2.71
Tom Clancy's The Division,Shooter,Ubisoft,1.54,0.82,0.0,0.24,2.59
Assassin's Creed Origins,Action,Ubisoft,1.34,0.92,0.0,0.22,2.47
Madden NFL 16,Sports,EA Sports,2.13,0.08,0.0,0.26,2.47
Madden NFL 17,Sports,EA Sports,2.14,0.04,0.0,0.26,2.44
NBA 2K16,Sports,2K Sports,2.01,0.15,0.0,0.25,2.41
Forza Motorsport 5,Racing,Microsoft Studios,1.28,0.9,0.01,0.21,2.4
Destiny 2,Shooter,Activision,1.66,0.47,0.0,0.23,2.35
